fact_id,jtbd_id,student_id,domain,name,value,unit,effective_date,confidence,source_ref,provenance_note,created_ts
F-jtbd-w002-168h-iter-sat-bloc,JTBD-W002-168H-ITER,huda-2025,time,sat_blocks_committed,4,blocks/week,2023-06-26,medium,W002 Transcript,,2025-09-29T20:29:07.202171+00:00
F-jtbd-w002-168h-iter-recovery,JTBD-W002-168H-ITER,huda-2025,time,recovery_blocks,2,blocks/week,2023-06-26,medium,W002 Transcript,,2025-09-29T20:29:07.202183+00:00
F-jtbd-w003-goals-weekly-full-,JTBD-W003-GOALS,huda-2025,sat,weekly_full_sections,3,sections/week,2023-06-26,medium,W003 Transcript,,2025-09-29T20:29:09.666542+00:00
F-jtbd-w003-goals-portfolio-up,JTBD-W003-GOALS,huda-2025,ec,portfolio_updates,1,artifact/week,2023-06-26,medium,W003 Transcript,,2025-09-29T20:29:09.666554+00:00
F-jtbd-w004-profile-themes-det,JTBD-W004-PROFILE,huda-2025,narrative,themes_detected,AI for youth empowerment; journalism as voice,,2023-06-26,medium,W004 Transcript (Janice),,2025-09-29T20:29:12.092472+00:00
F-jtbd-w0045-essay-refine-arti,JTBD-W0045-ESSAY-REFINE,huda-2025,portfolio,artifact_targets,"podcast clip, game demo GIF, article link",,2023-06-26,medium,W004.5 Transcript (Jenny),,2025-09-29T20:29:14.758205+00:00
F-jtbd-exec-w001-w005-actions-,JTBD-EXEC-W001-W005-ACTIONS,huda-2025,actions,count_registered,12,items,2023-07-07,low,Execution Doc Part 1 (slice),,2025-09-29T20:29:17.433081+00:00
F-jtbd-imsg-w001-w005-micro-nu,JTBD-IMSG-W001-W005-MICRO,huda-2025,micro,nudges_count,6,notes,2023-07-07,low,iMessage Part 1 (slice),,2025-09-29T20:29:19.677264+00:00
F-jtbd-w005-naviance-tiers-def,JTBD-W005-NAVIANCE,huda-2025,targeting,tiers_defined,reach/match/safety calibrated from school data,,2023-07-07,medium,W005 Transcript,,2025-09-29T20:31:47.854792+00:00
F-jtbd-w005-naviance-parallel-,JTBD-W005-NAVIANCE,huda-2025,projects,parallel_streams,2,streams,2023-07-07,medium,W005 Transcript,,2025-09-29T20:31:47.854807+00:00
F-jtbd-w001-168h-plan-interact,JTBD-W001-168H-PLAN,huda-2025,coverage,interaction_count,15,,2023-06-21,high,W001 Transcript (execution slice),Hybrid pass heuristic extraction,2025-09-29T20:58:00.794983+00:00
F-jtbd-w002-168h-iter-interact,JTBD-W002-168H-ITER,huda-2025,coverage,interaction_count,15,,2023-06-26,high,W002 Transcript,Hybrid pass heuristic extraction,2025-09-29T20:58:04.570635+00:00
F-jtbd-w003-goals-interaction-,JTBD-W003-GOALS,huda-2025,coverage,interaction_count,15,,2023-06-26,high,W003 Transcript,Hybrid pass heuristic extraction,2025-09-29T20:58:07.064306+00:00
F-jtbd-w004-profile-interactio,JTBD-W004-PROFILE,huda-2025,coverage,interaction_count,15,,2023-06-26,high,W004 Transcript (Janice),Hybrid pass heuristic extraction,2025-09-29T20:58:09.727891+00:00
F-jtbd-w0045-essay-refine-inte,JTBD-W0045-ESSAY-REFINE,huda-2025,coverage,interaction_count,15,,2023-06-26,high,W004.5 Transcript (Jenny),Hybrid pass heuristic extraction,2025-09-29T20:58:12.032916+00:00
F-jtbd-w005-naviance-interacti,JTBD-W005-NAVIANCE,huda-2025,coverage,interaction_count,15,,2023-07-07,high,W005 Transcript,Hybrid pass heuristic extraction,2025-09-29T20:58:14.404007+00:00
F-jtbd-exec-part1-interaction-,JTBD-EXEC-PART1,huda-2025,coverage,interaction_count,15,,2023-08-02–2024-08-30,high,Execution Doc (Part 1),Hybrid pass heuristic extraction,2025-09-29T20:58:16.747090+00:00
F-jtbd-imsg-part1-interaction-,JTBD-IMSG-PART1,huda-2025,coverage,interaction_count,15,,2023-06–2024-??,high,iMessage Part 1 (slice),Hybrid pass heuristic extraction,2025-09-29T20:58:18.870889+00:00
F-jtbd-w006-review-sat-mention,JTBD-W006-REVIEW,huda-2025,signal,sat_mentions,24,,2023-08-05,medium,W006 Transcript,keyword count,2025-09-29T23:45:04.749878+00:00
F-jtbd-w006-review-goal-mentio,JTBD-W006-REVIEW,huda-2025,signal,goal_mentions,15,,2023-08-05,medium,W006 Transcript,keyword count,2025-09-29T23:45:04.749892+00:00
F-jtbd-w006-review-review-ment,JTBD-W006-REVIEW,huda-2025,signal,review_mentions,1,,2023-08-05,medium,W006 Transcript,keyword count,2025-09-29T23:45:04.749904+00:00
F-jtbd-w006-review-practice-me,JTBD-W006-REVIEW,huda-2025,signal,practice_mentions,6,,2023-08-05,medium,W006 Transcript,keyword count,2025-09-29T23:45:04.749913+00:00
F-jtbd-w011-ncwit-dev-applicat,JTBD-W011-NCWIT-DEV,huda-2025,signal,application_mentions,11,,2023-09-06,medium,W011 Transcript,keyword count,2025-09-29T23:45:10.791308+00:00
F-jtbd-w011-ncwit-dev-draft-me,JTBD-W011-NCWIT-DEV,huda-2025,signal,draft_mentions,8,,2023-09-06,medium,W011 Transcript,keyword count,2025-09-29T23:45:10.791321+00:00
F-jtbd-w009-projmgt-project-me,JTBD-W009-PROJMGT,huda-2025,signal,project_mentions,3,,2023-09-09,medium,W009 Transcript,keyword count,2025-09-29T23:45:13.217046+00:00
F-jtbd-w009-projmgt-deadline-m,JTBD-W009-PROJMGT,huda-2025,signal,deadline_mentions,2,,2023-09-09,medium,W009 Transcript,keyword count,2025-09-29T23:45:13.217066+00:00
F-jtbd-w009-projmgt-ship-menti,JTBD-W009-PROJMGT,huda-2025,signal,ship_mentions,3,,2023-09-09,medium,W009 Transcript,keyword count,2025-09-29T23:45:13.217082+00:00
F-jtbd-w009-projmgt-roadmap-me,JTBD-W009-PROJMGT,huda-2025,signal,roadmap_mentions,1,,2023-09-09,medium,W009 Transcript,keyword count,2025-09-29T23:45:13.217098+00:00
F-jtbd-w010-crisis-mit-mit-men,JTBD-W010-CRISIS-MIT,huda-2025,signal,mit_mentions,17,,2023-09-23,medium,W010 Transcript,keyword count,2025-09-29T23:45:15.727351+00:00
F-jtbd-w010-crisis-mit-mentor-,JTBD-W010-CRISIS-MIT,huda-2025,signal,mentor_mentions,98,,2023-09-23,medium,W010 Transcript,keyword count,2025-09-29T23:45:15.727364+00:00
F-jtbd-w010-crisis-mit-essay-m,JTBD-W010-CRISIS-MIT,huda-2025,signal,essay_mentions,5,,2023-09-23,medium,W010 Transcript,keyword count,2025-09-29T23:45:15.727374+00:00
F-jtbd-w010-crisis-mit-msa-men,JTBD-W010-CRISIS-MIT,huda-2025,signal,msa_mentions,2,,2023-09-23,medium,W010 Transcript,keyword count,2025-09-29T23:45:15.727384+00:00
F-jtbd-exec-part1-b2-owner-men,JTBD-EXEC-PART1-B2,huda-2025,signal,owner_mentions,3,,2023-08-15,medium,Execution Doc Part 1 (slice B2),keyword count,2025-09-29T23:45:17.945802+00:00
F-jtbd-exec-part1-b2-due-menti,JTBD-EXEC-PART1-B2,huda-2025,signal,due_mentions,4,,2023-08-15,medium,Execution Doc Part 1 (slice B2),keyword count,2025-09-29T23:45:17.945815+00:00
F-jtbd-exec-part1-b2-action-me,JTBD-EXEC-PART1-B2,huda-2025,signal,action_mentions,30,,2023-08-15,medium,Execution Doc Part 1 (slice B2),keyword count,2025-09-29T23:45:17.945825+00:00
F-jtbd-exec-part1-b2-demo-ment,JTBD-EXEC-PART1-B2,huda-2025,signal,demo_mentions,8,,2023-08-15,medium,Execution Doc Part 1 (slice B2),keyword count,2025-09-29T23:45:17.945835+00:00
F-jtbd-exec-part1-b2-168-menti,JTBD-EXEC-PART1-B2,huda-2025,signal,168_mentions,1,,2023-08-15,medium,Execution Doc Part 1 (slice B2),keyword count,2025-09-29T23:45:17.945843+00:00
F-jtbd-imsg-part1-b2-email-men,JTBD-IMSG-PART1-B2,huda-2025,signal,email_mentions,7,,2023-08-15,medium,iMessage Part 1 (slice B2),keyword count,2025-09-29T23:45:20.626850+00:00
F-jtbd-imsg-part1-b2-meeting-m,JTBD-IMSG-PART1-B2,huda-2025,signal,meeting_mentions,38,,2023-08-15,medium,iMessage Part 1 (slice B2),keyword count,2025-09-29T23:45:20.626863+00:00
F-jtbd-w013-math-intensive-mat,JTBD-W013-MATH-INTENSIVE,huda-2025,signal,math_error_clusters,"[""algebra"", ""functions"", ""data""]",,2023-10-01,medium,W013 Transcript,,2025-09-30T00:37:27.776213+00:00
F-jtbd-w013-math-intensive-dai,JTBD-W013-MATH-INTENSIVE,huda-2025,cadence,daily_math_sets,3x 30-minute blocks,,2023-10-01,high,W013 Transcript,,2025-09-30T00:37:27.776227+00:00
F-jtbd-w013-math-intensive-pos,JTBD-W013-MATH-INTENSIVE,huda-2025,process,post_mortem_required,True,,2023-10-01,high,W013 Transcript,,2025-09-30T00:37:27.776238+00:00
F-jtbd-w014-crisis-ncwit-micro,JTBD-W014-CRISIS-NCWIT,huda-2025,bandwidth,micro_blocks_only,2×25m per day minimum,,2023-10-13,medium,W014 Transcript,,2025-09-30T00:37:31.953840+00:00
F-jtbd-w014-crisis-ncwit-ncwit,JTBD-W014-CRISIS-NCWIT,huda-2025,narrative,ncwit_core_scene,service-oriented moment grounded in lived context,,2023-10-13,medium,W014 Transcript,,2025-09-30T00:37:31.953853+00:00
F-jtbd-w015-sat-crisis-morning,JTBD-W015-SAT-CRISIS,huda-2025,schedule,morning_math_anchor,4 days/week,,2023-10-23,high,W015 Transcript,,2025-09-30T00:37:34.434586+00:00
F-jtbd-w015-sat-crisis-ncwit-v,JTBD-W015-SAT-CRISIS,huda-2025,essay,ncwit_version,v3 target,,2023-10-23,medium,W015 Transcript,,2025-09-30T00:37:34.434598+00:00
F-jtbd-w016-reading-deepdive-e,JTBD-W016-READING-DEEPDIVE,huda-2025,method,evidence_ladder_steps,"[""predict"", ""locate"", ""quote"", ""test""]",,2023-10-15,high,W016 Transcript,,2025-09-30T00:37:36.767909+00:00
F-jtbd-w016-reading-deepdive-a,JTBD-W016-READING-DEEPDIVE,huda-2025,habit,annotation_scheme,"Q#, line ref, claim arrow, elimination ticks",,2023-10-15,medium,W016 Transcript,,2025-09-30T00:37:36.767922+00:00
F-jtbd-w017-psat-analysis-dril,JTBD-W017-PSAT-ANALYSIS,huda-2025,psat,drill_queue_topics,"[""linear_equations"", ""functions"", ""data_analysis""]",,2023-11-06,medium,W017 Transcript,,2025-09-30T00:37:39.326405+00:00
F-jtbd-w017-psat-analysis-rete,JTBD-W017-PSAT-ANALYSIS,huda-2025,schedule,retest_window,within 6–8 weeks,,2023-11-06,medium,W017 Transcript,,2025-09-30T00:37:39.326419+00:00
F-jtbd-exec-part1-b3-demo-ever,JTBD-EXEC-PART1-B3,huda-2025,cadence,demo_every,7–10 days,,2023-10-05,high,Execution Doc Part 1 (slice B3),,2025-09-30T00:37:42.109855+00:00
F-jtbd-exec-part1-b3-reading-p,JTBD-EXEC-PART1-B3,huda-2025,checklist,reading_protocol_embedded,True,,2023-10-15,medium,Execution Doc Part 1 (slice B3),,2025-09-30T00:37:42.109874+00:00
F-jtbd-w018-reset-commitments-,JTBD-W018-RESET,huda-2025,capacity,commitments_pruned,3,items,2023-11-16,medium,W018 Transcript,,2025-09-30T01:01:45.284421+00:00
F-jtbd-w018-reset-stress-level,JTBD-W018-RESET,huda-2025,wellbeing,stress_level_self_report,7,10pt,2023-11-16,low,W018 Transcript,,2025-09-30T01:01:45.284437+00:00
F-jtbd-w019-math-depth-error-f,JTBD-W019-MATH-DEPTH,huda-2025,sat_math,error_family_linear_equations,8,last_4_tests,2023-11-09,medium,W019 Transcript,,2025-09-30T01:01:48.518554+00:00
F-jtbd-w019-math-depth-error-f,JTBD-W019-MATH-DEPTH,huda-2025,sat_math,error_family_geometry,5,last_4_tests,2023-11-09,medium,W019 Transcript,,2025-09-30T01:01:48.518569+00:00
F-jtbd-w020-boa-kickoff-recomm,JTBD-W020-BOA-KICKOFF,huda-2025,recommenders,recommender_count_target,2,people,2023-11-10,high,W020 Transcript,,2025-09-30T01:01:50.921087+00:00
F-jtbd-w020-boa-kickoff-magazi,JTBD-W020-BOA-KICKOFF,huda-2025,impact,magazine_articles_published,10,articles,2023-11-10,low,W020 Transcript,,2025-09-30T01:01:50.921108+00:00
F-jtbd-w022-boa-polish-apush-u,JTBD-W022-BOA-POLISH,huda-2025,academics,apush_unit_assessment,95,percent,2023-12-11,low,W022 Transcript,,2025-09-30T01:01:55.804958+00:00
F-jtbd-w023-apush-boa-apush-sc,JTBD-W023-APUSH-BOA,huda-2025,academics,apush_score,100%,,2023-12-17,high,W023 Transcript,,2025-09-30T01:01:58.162211+00:00
F-jtbd-w024-college-strat-budg,JTBD-W024-COLLEGE-STRAT,huda-2025,constraint,budget_band,need-based / merit hybrid,,2024-01-06,medium,W024 Transcript (Part 2),,2025-09-30T01:54:18.979563+00:00
F-jtbd-w024-college-strat-dist,JTBD-W024-COLLEGE-STRAT,huda-2025,preference,distance,<= 5 hours flight,,2024-01-06,medium,W024 Transcript (Part 2),,2025-09-30T01:54:18.979577+00:00
F-jtbd-w024-college-strat-prim,JTBD-W024-COLLEGE-STRAT,huda-2025,major,primary_major_cluster,"[""CS"", ""Journalism"", ""Media-Tech""]",,2024-01-06,high,W024 Transcript (Part 2),,2025-09-30T01:54:18.979589+00:00
F-jtbd-w0245-college-refine-np,JTBD-W0245-COLLEGE-REFINE,huda-2025,finance,npc_required,True,,2024-01-07,high,W024.5 Transcript,,2025-09-30T01:54:21.620721+00:00
F-jtbd-w0245-college-refine-ri,JTBD-W0245-COLLEGE-REFINE,huda-2025,strategy,risk_distribution,"{""reach"": 3, ""target"": 4, ""safety"": 2}",,2024-01-07,high,W024.5 Transcript,,2025-09-30T01:54:21.620742+00:00
F-jtbd-w025-boa-app-boa-deadli,JTBD-W025-BOA-APP,huda-2025,deadline,boa_deadline,2024-01-17,,2024-01-09,medium,W025 Transcript,,2025-09-30T01:54:24.055055+00:00
F-jtbd-w025-boa-app-recommende,JTBD-W025-BOA-APP,huda-2025,recommenders,recommender_slots,2,,2024-01-09,high,W025 Transcript,,2025-09-30T01:54:24.055074+00:00
F-jtbd-w026-ncwit-post-sr-ncwi,JTBD-W026-NCWIT-POST-SR,huda-2025,award,ncwit_status,recognized,,2024-01-13,high,W026 Transcript,,2025-09-30T01:54:26.877913+00:00
F-jtbd-w026-ncwit-post-sr-talk,JTBD-W026-NCWIT-POST-SR,huda-2025,speaking,talk_targets,"[""school CS club"", ""local library workshop""]",,2024-01-13,medium,W026 Transcript,,2025-09-30T01:54:26.877925+00:00
F-jtbd-w027-nd-leadership-nd-d,JTBD-W027-ND-LEADERSHIP,huda-2025,deadline,nd_deadline,2024-01-24,,2024-01-16,medium,W027 Transcript,,2025-09-30T01:54:29.332615+00:00
F-jtbd-w030-folklift-plat-stre,JTBD-W030-FOLKLIFT-PLAT,huda-2025,project,streams_active,2,,2024-01-30,high,W030 Transcript,,2025-09-30T01:54:33.859733+00:00
F-jtbd-exec-part1-b5-actions-o,JTBD-EXEC-PART1-B5,huda-2025,actions,actions_open,12,,2024-01-06..2024-01-30,medium,Execution Doc Part 1 (slice B5),,2025-09-30T01:54:36.191918+00:00
F-jtbd-exec-part1-b5-actions-c,JTBD-EXEC-PART1-B5,huda-2025,actions,actions_closed,7,,2024-01-06..2024-01-30,medium,Execution Doc Part 1 (slice B5),,2025-09-30T01:54:36.191938+00:00
F-jtbd-w031-jcamp-rel-target-p,JTBD-W031-JCAMP-REL,huda-2025,program,target_program,AAJA JCamp,,2024-02-28,high,W031 Transcript,,2025-09-30T02:13:16.553349+00:00
F-jtbd-w031-jcamp-rel-touches-,JTBD-W031-JCAMP-REL,huda-2025,outreach,touches_per_week,2,touches/wk,2024-02-28,high,W031 Transcript,,2025-09-30T02:13:16.553365+00:00
F-jtbd-w031-jcamp-rel-mentor-l,JTBD-W031-JCAMP-REL,huda-2025,outreach,mentor_list_size,10,prospects,2024-02-28,medium,W031 Transcript,,2025-09-30T02:13:16.553376+00:00
F-jtbd-w031-jcamp-rel-evidence,JTBD-W031-JCAMP-REL,huda-2025,proof,evidence_links_required,3,artifacts,2024-02-28,medium,W031 Transcript,,2025-09-30T02:13:16.553387+00:00
F-jtbd-w032-cmu-essay-primary-,JTBD-W032-CMU-ESSAY,huda-2025,essay,primary_prompt_word_limit,300,words,2024-02-03,medium,W032 Transcript,,2025-09-30T02:13:19.001386+00:00
F-jtbd-w032-cmu-essay-revision,JTBD-W032-CMU-ESSAY,huda-2025,process,revision_passes_planned,3,passes,2024-02-03,medium,W032 Transcript,,2025-09-30T02:13:19.001399+00:00
F-jtbd-w032-cmu-essay-core-the,JTBD-W032-CMU-ESSAY,huda-2025,narrative,core_theme,building for others via AI + journalism,,2024-02-03,high,W032 Transcript,,2025-09-30T02:13:19.001410+00:00
F-jtbd-w033-cmu-ncwit-bay-demo,JTBD-W033-CMU-NCWIT-BAY,huda-2025,cadence,demo_cadence_days,10,days,2024-02-10,medium,W033 Transcript,,2025-09-30T02:13:21.260720+00:00
F-jtbd-w033-cmu-ncwit-bay-evid,JTBD-W033-CMU-NCWIT-BAY,huda-2025,ncwit,evidence_clip_count,2,clips,2024-02-10,medium,W033 Transcript,,2025-09-30T02:13:21.260734+00:00
F-jtbd-w034-cmu-final-nlead-cm,JTBD-W034-CMU-FINAL-NLEAD,huda-2025,deadline,cmu_submission_window,late-Feb 2024,,2024-02-21,medium,W034 Transcript,,2025-09-30T02:13:23.646895+00:00
F-jtbd-w034-cmu-final-nlead-ta,JTBD-W034-CMU-FINAL-NLEAD,huda-2025,leadership,target_programs,"[""National Journalism Leadership"", ""Local Youth Board""]",,2024-02-21,low,W034 Transcript,,2025-09-30T02:13:23.646908+00:00
F-jtbd-w035-init-updates-chann,JTBD-W035-INIT-UPDATES,huda-2025,publicity,channels,"[""School paper"", ""LinkedIn"", ""Local community board""]",,2024-02-26,medium,W035 Transcript,,2025-09-30T02:13:26.022720+00:00
F-jtbd-w035-init-updates-initi,JTBD-W035-INIT-UPDATES,huda-2025,finance,initial_budget,200,USD,2024-02-26,low,W035 Transcript,,2025-09-30T02:13:26.022743+00:00
