outcome_id,jtbd_id,student_id,type,name,level,result,date,details,source_ref,created_ts
O-JTBD-W0045-ESSAY-REFINE-0001,JTBD-W0045-ESSAY-REFINE,huda-2025,plan,asset_checklist_v1,,created,2023-06-26,Checklist added to execution doc.,W004.5 Transcript (Jenny),2025-09-29T20:29:14.758250+00:00
O-JTBD-EXEC-W001-W005-ACTIONS-0001,JTBD-EXEC-W001-W005-ACTIONS,huda-2025,tracking,action_register_v1,,created,2023-07-07,Owner/due added for initial 12 items.,Execution Doc Part 1 (slice),2025-09-29T20:29:17.433106+00:00
O-JTBD-IMSG-W001-W005-MICRO-0001,JTBD-IMSG-W001-W005-MICRO,huda-2025,momentum,advisor_meeting_booked,,booked,2023-07-01,Meeting scheduled using template.,iMessage Part 1 (slice),2025-09-29T20:29:19.677307+00:00
O-JTBD-W005-NAVIANCE-0001,JTBD-W005-NAVIANCE,huda-2025,plan,project_roadmap_v1,,created,2023-07-07,Two-stream roadmap added (flagship + supporting).,W005 Transcript,2025-09-29T20:31:47.854837+00:00
O-JTBD-W006-REVIEW-0001,JTBD-W006-REVIEW,huda-2025,plan,weekly_goal_sheet_v2,,updated,2023-08-05,Added SAT cadence + portfolio micro-artifacts.,W006 Transcript,2025-09-29T23:45:04.749958+00:00
O-JTBD-W008-NCWIT-STORY-0001,JTBD-W008-NCWIT-STORY,huda-2025,plan,ncwit_story_outline_v1,,created,2023-08-08,Selected 2 anchor anecdotes + service motive.,W008 Transcript,2025-09-29T23:45:08.534991+00:00
O-JTBD-W011-NCWIT-DEV-0001,JTBD-W011-NCWIT-DEV,huda-2025,plan,ncwit_draft_v1,,created,2023-09-06,First full pass; placeholders for evidence links.,W011 Transcript,2025-09-29T23:45:10.791357+00:00
O-JTBD-W009-PROJMGT-0001,JTBD-W009-PROJMGT,huda-2025,plan,project_board_v1,,created,2023-09-09,Backlog triaged; WIP limit 2; weekly demo cadence set.,W009 Transcript,2025-09-29T23:45:13.217149+00:00
O-JTBD-W010-CRISIS-MIT-0001,JTBD-W010-CRISIS-MIT,huda-2025,momentum,mentor_outreach_email_sent,,booked,2023-09-23,Template refined; two sends queued.,W010 Transcript,2025-09-29T23:45:15.727418+00:00
O-JTBD-W010-CRISIS-MIT-0002,JTBD-W010-CRISIS-MIT,huda-2025,plan,ncwit_breakthrough_outline,,updated,2023-09-23,Locked core scene; strengthened service arc.,W010 Transcript,2025-09-29T23:45:15.727425+00:00
O-JTBD-EXEC-PART1-B2-0001,JTBD-EXEC-PART1-B2,huda-2025,tracking,action_register_v2,,updated,2023-08-20,Owners + dues added; 14 items tracked.,Execution Doc Part 1 (slice B2),2025-09-29T23:45:17.945878+00:00
O-JTBD-EXEC-PART1-B2-0002,JTBD-EXEC-PART1-B2,huda-2025,plan,asset_checklist_v2,,updated,2023-09-01,Proof-before-prose checklist linked in doc.,Execution Doc Part 1 (slice B2),2025-09-29T23:45:17.945885+00:00
O-JTBD-IMSG-PART1-B2-0001,JTBD-IMSG-PART1-B2,huda-2025,momentum,advisor_meeting_booked,,booked,2023-08-22,Two times proposed; 10‑minute slot confirmed.,iMessage Part 1 (slice B2),2025-09-29T23:45:20.626901+00:00
O-JTBD-IMSG-PART1-B2-0002,JTBD-IMSG-PART1-B2,huda-2025,proof,demo_clip_v1,,created,2023-09-01,90‑second screen capture shared via link.,iMessage Part 1 (slice B2),2025-09-29T23:45:20.626907+00:00
O-JTBD-W013-MATH-INTENSIVE-0001,JTBD-W013-MATH-INTENSIVE,huda-2025,plan,math_playbook_v1,,created,2023-10-01,Error taxonomy + 3x30 daily set routine + mistake log rubric,W013 Transcript,2025-09-30T00:37:27.776343+00:00
O-JTBD-W013-MATH-INTENSIVE-0002,JTBD-W013-MATH-INTENSIVE,huda-2025,tracking,mistake_log_v1,,created,2023-10-01,"Columns: item, pattern-tag, cause, fix, proof-of-fix",W013 Transcript,2025-09-30T00:37:27.776350+00:00
O-JTBD-W014-CRISIS-NCWIT-0001,JTBD-W014-CRISIS-NCWIT,huda-2025,plan,crisis_micro_cadence,,created,2023-10-13,2×25m blocks/day + one shippable proof per block,W014 Transcript,2025-09-30T00:37:31.953889+00:00
O-JTBD-W014-CRISIS-NCWIT-0002,JTBD-W014-CRISIS-NCWIT,huda-2025,essay,ncwit_scene_lock,,selected,2023-10-13,Chosen core scene anchored in service; outline drafted,W014 Transcript,2025-09-30T00:37:31.953895+00:00
O-JTBD-W015-SAT-CRISIS-0001,JTBD-W015-SAT-CRISIS,huda-2025,plan,rebaseline_math_v1,,created,2023-10-23,Morning anchors + 7‑day fix sprint for top 3 error families,W015 Transcript,2025-09-30T00:37:34.434633+00:00
O-JTBD-W015-SAT-CRISIS-0002,JTBD-W015-SAT-CRISIS,huda-2025,essay,ncwit_draft_v3,,in_progress,2023-10-23,Scene crafted; integration passes pending,W015 Transcript,2025-09-30T00:37:34.434639+00:00
O-JTBD-W016-READING-DEEPDIVE-0001,JTBD-W016-READING-DEEPDIVE,huda-2025,plan,reading_protocol_v1,,created,2023-10-15,Evidence ladder + annotation scheme embedded into routine,W016 Transcript,2025-09-30T00:37:36.767954+00:00
O-JTBD-W017-PSAT-ANALYSIS-0001,JTBD-W017-PSAT-ANALYSIS,huda-2025,tracking,psat_xray_sheet_v1,,created,2023-11-06,Subscores → drill queues mapping; delta fields added,W017 Transcript,2025-09-30T00:37:39.326453+00:00
O-JTBD-W017-PSAT-ANALYSIS-0002,JTBD-W017-PSAT-ANALYSIS,huda-2025,plan,math_fix_sprint_v2,,created,2023-11-06,Topic queues + mini/full test cadence,W017 Transcript,2025-09-30T00:37:39.326460+00:00
O-JTBD-EXEC-PART1-B3-0001,JTBD-EXEC-PART1-B3,huda-2025,tracking,action_register_v2,,created,2023-10-20,Owner/due/status/proof schema with weekly review tick,Execution Doc Part 1 (slice B3),2025-09-30T00:37:42.109922+00:00
O-JTBD-IMSG-PART1-B3-0001,JTBD-IMSG-PART1-B3,huda-2025,momentum,teacher_meeting_set,,booked,2023-10-04,Meeting on Wed lunch using 3‑line template,iMessage Part 1 (slice B3),2025-09-30T00:37:44.512103+00:00
O-JTBD-W018-RESET-0001,JTBD-W018-RESET,huda-2025,plan,two_week_scope_freeze,,created,2023-11-16,"Only school, SAT vitals (3 quality reps), one EC micro‑artifact/week.",W018 Transcript,2025-09-30T01:01:45.284480+00:00
O-JTBD-W018-RESET-0002,JTBD-W018-RESET,huda-2025,narrative,authentic_positioning_note,,created,2023-11-16,"Draft note on values: resilience, service, proof-over-prose.",W018 Transcript,2025-09-30T01:01:45.284487+00:00
O-JTBD-W019-MATH-DEPTH-0001,JTBD-W019-MATH-DEPTH,huda-2025,plan,math_error_playbook_v1,,created,2023-11-09,"Top 2 families → 15 min spaced drills, 3×/wk; write miscue rules; weekly post‑mortem.",W019 Transcript,2025-09-30T01:01:48.518604+00:00
O-JTBD-W019-MATH-DEPTH-0002,JTBD-W019-MATH-DEPTH,huda-2025,applications,scholarship_shortlist_v1,,created,2023-11-09,Two priority scholarships aligned to artifacts; owner and due captured.,W019 Transcript,2025-09-30T01:01:48.518611+00:00
O-JTBD-W020-BOA-KICKOFF-0001,JTBD-W020-BOA-KICKOFF,huda-2025,plan,boa_prompt_outline_v1,,created,2023-11-10,Three scenes selected; metrics placeholders added.,W020 Transcript,2025-09-30T01:01:50.921149+00:00
O-JTBD-W020-BOA-KICKOFF-0002,JTBD-W020-BOA-KICKOFF,huda-2025,ops,recommenders_identified,,created,2023-11-10,Advisor + community leader tentatively asked; email templates drafted.,W020 Transcript,2025-09-30T01:01:50.921159+00:00
O-JTBD-W021-BOA-REFINE-0001,JTBD-W021-BOA-REFINE,huda-2025,plan,finals_week_template_v1,,created,2023-12-10,Anchored morning SAT; nightly BoA micro‑edit; weekends for recovery + review.,W021 Transcript,2025-09-30T01:01:53.347501+00:00
O-JTBD-W021-BOA-REFINE-0002,JTBD-W021-BOA-REFINE,huda-2025,draft,boa_essay_v2,,created,2023-12-10,Tightened transitions; added metric sentences.,W021 Transcript,2025-09-30T01:01:53.347508+00:00
O-JTBD-W022-BOA-POLISH-0001,JTBD-W022-BOA-POLISH,huda-2025,draft,boa_essay_v3_polished,,created,2023-12-11,Artifacts linked; language tightened to 650 words.,W022 Transcript,2025-09-30T01:01:55.804989+00:00
O-JTBD-W022-BOA-POLISH-0002,JTBD-W022-BOA-POLISH,huda-2025,tracking,wins_log_updated,,updated,2023-12-11,Added APUSH win; portfolio page updated.,W022 Transcript,2025-09-30T01:01:55.804996+00:00
O-JTBD-W023-APUSH-BOA-0001,JTBD-W023-APUSH-BOA,huda-2025,achievement,apush_perfect,,achieved,2023-12-17,Logged as narrative credibility signal.,W023 Transcript,2025-09-30T01:01:58.162255+00:00
O-JTBD-W023-APUSH-BOA-0002,JTBD-W023-APUSH-BOA,huda-2025,submission,boa_package_ready,,ready,2023-12-17,All prompts at v3; links validated; pings sent.,W023 Transcript,2025-09-30T01:01:58.162264+00:00
O-JTBD-EXEC-B4-0001,JTBD-EXEC-B4,huda-2025,tracking,action_register_v2,,created,2023-12-01,17 items consolidated; BoA checkpoints added.,Execution Doc Part 1+2 (slice B4),2025-09-30T01:02:00.483220+00:00
O-JTBD-EXEC-B4-0002,JTBD-EXEC-B4,huda-2025,plan,weekly_demo_cadence_confirmed,,updated,2023-12-08,Keep two‑week ship‑small rule active.,Execution Doc Part 1+2 (slice B4),2025-09-30T01:02:00.483233+00:00
O-JTBD-IMSG-B4-0001,JTBD-IMSG-B4,huda-2025,momentum,recommender_followups_sent,,sent,2023-12-03,Two follow‑ups sent using template; confirmations logged.,iMessage Part 1+2 (slice B4),2025-09-30T01:02:02.882226+00:00
O-JTBD-W024-COLLEGE-STRAT-0001,JTBD-W024-COLLEGE-STRAT,huda-2025,plan,college_list_v1,,created,2024-01-06,10-school short list with fit notes per program.,W024 Transcript (Part 2),2025-09-30T01:54:18.979629+00:00
O-JTBD-W024-COLLEGE-STRAT-0002,JTBD-W024-COLLEGE-STRAT,huda-2025,plan,major_mapping_sheet_v1,,created,2024-01-06,CS/Media crosswalk; narrative tie-ins.,W024 Transcript (Part 2),2025-09-30T01:54:18.979635+00:00
O-JTBD-W0245-COLLEGE-REFINE-0001,JTBD-W0245-COLLEGE-REFINE,huda-2025,plan,college_list_v2,,updated,2024-01-07,NPC deltas added; 1 swap from reach→target.,W024.5 Transcript,2025-09-30T01:54:21.620774+00:00
O-JTBD-W025-BOA-APP-0001,JTBD-W025-BOA-APP,huda-2025,plan,boa_outline_v1,,created,2024-01-09,Prompt mapping + scene inventory.,W025 Transcript,2025-09-30T01:54:24.055124+00:00
O-JTBD-W026-NCWIT-POST-SR-0001,JTBD-W026-NCWIT-POST-SR,huda-2025,plan,ncwit_momentum_v1,,created,2024-01-13,Deck outline + mentor pipeline sketch.,W026 Transcript,2025-09-30T01:54:26.877955+00:00
O-JTBD-W027-ND-LEADERSHIP-0001,JTBD-W027-ND-LEADERSHIP,huda-2025,plan,nd_outline_v1,,created,2024-01-16,Track chosen + scene list.,W027 Transcript,2025-09-30T01:54:29.332642+00:00
O-JTBD-W028-ND-FINAL-0001,JTBD-W028-ND-FINAL,huda-2025,submission,notre_dame_seminar_app,,submitted,2024-01-20,Linked EmpowAI post + mentorship page.,W028 Transcript,2025-09-30T01:54:31.564031+00:00
O-JTBD-W030-FOLKLIFT-PLAT-0001,JTBD-W030-FOLKLIFT-PLAT,huda-2025,plan,folklift_roadmap_v2,,updated,2024-01-30,Added content pipeline + demo schedule.,W030 Transcript,2025-09-30T01:54:33.859777+00:00
O-JTBD-EXEC-PART1-B5-0001,JTBD-EXEC-PART1-B5,huda-2025,tracking,action_register_v2,,updated,2024-01-22,Owners/dues refreshed; 3 items closed.,Execution Doc Part 1 (slice B5),2025-09-30T01:54:36.191992+00:00
O-JTBD-IMSG-PART1-B5-0001,JTBD-IMSG-PART1-B5,huda-2025,momentum,library_outreach_sent,,sent,2024-01-10,Template used with two slots proposed.,iMessage Part 1 (slice B5),2025-09-30T01:54:38.473805+00:00
O-JTBD-W031-JCAMP-REL-0001,JTBD-W031-JCAMP-REL,huda-2025,plan,mentor_pipeline_v1,,created,2024-02-28,10-prospect spreadsheet with owners/next steps,W031 Transcript,2025-09-30T02:13:16.553460+00:00
O-JTBD-W031-JCAMP-REL-0002,JTBD-W031-JCAMP-REL,huda-2025,artifact,published_piece_linked,,shipped,2024-03-01,Linked 1 article + 1 interview clip in application draft,W031 Transcript,2025-09-30T02:13:16.553469+00:00
O-JTBD-W031-JCAMP-REL-0003,JTBD-W031-JCAMP-REL,huda-2025,momentum,mentor_reply,,booked,2024-03-03,Secured 1 mentor call from tier-2 contact,W031 Transcript,2025-09-30T02:13:16.553476+00:00
O-JTBD-W032-CMU-ESSAY-0001,JTBD-W032-CMU-ESSAY,huda-2025,plan,essay_outline_v1,,created,2024-02-03,Beat list with 3–2–1 structure,W032 Transcript,2025-09-30T02:13:19.001452+00:00
O-JTBD-W032-CMU-ESSAY-0002,JTBD-W032-CMU-ESSAY,huda-2025,artifact,draft1,,shipped,2024-02-04,"~285 words, with proof link placeholder",W032 Transcript,2025-09-30T02:13:19.001458+00:00
O-JTBD-W033-CMU-NCWIT-BAY-0001,JTBD-W033-CMU-NCWIT-BAY,huda-2025,artifact,cmu_draft2,,shipped,2024-02-11,Sharper scenes; -40 words,W033 Transcript,2025-09-30T02:13:21.260768+00:00
O-JTBD-W033-CMU-NCWIT-BAY-0002,JTBD-W033-CMU-NCWIT-BAY,huda-2025,plan,ncwit_bay_cliplist_v1,,created,2024-02-11,2 short clip targets with shot list,W033 Transcript,2025-09-30T02:13:21.260773+00:00
O-JTBD-W034-CMU-FINAL-NLEAD-0001,JTBD-W034-CMU-FINAL-NLEAD,huda-2025,artifact,cmu_final,,shipped,2024-02-22,Submitted with 2 proof links,W034 Transcript,2025-09-30T02:13:23.646943+00:00
O-JTBD-W034-CMU-FINAL-NLEAD-0002,JTBD-W034-CMU-FINAL-NLEAD,huda-2025,plan,leadership_shortlist,,created,2024-02-22,2 programs shortlisted with fit notes,W034 Transcript,2025-09-30T02:13:23.646949+00:00
O-JTBD-W035-INIT-UPDATES-0001,JTBD-W035-INIT-UPDATES,huda-2025,artifact,public_post_v1,,shipped,2024-02-27,School paper blurb + LinkedIn update,W035 Transcript,2025-09-30T02:13:26.022815+00:00
O-JTBD-W035-INIT-UPDATES-0002,JTBD-W035-INIT-UPDATES,huda-2025,plan,micro_budget_v1,,created,2024-02-27,$200 seed with 3 cost lines,W035 Transcript,2025-09-30T02:13:26.022827+00:00
O-JTBD-W035-INIT-UPDATES-0003,JTBD-W035-INIT-UPDATES,huda-2025,momentum,sponsor_intro,,booked,2024-02-28,Intro email to 1 sponsor prospect,W035 Transcript,2025-09-30T02:13:26.022837+00:00
O-JTBD-EXEC-PART1-B6-0001,JTBD-EXEC-PART1-B6,huda-2025,tracking,action_register_b6,,updated,2024-02-29,9 tasks with owner/due/demo fields,Execution Doc Part 1 (slice B6),2025-09-30T02:13:28.348381+00:00
O-JTBD-EXEC-PART2-B6-0001,JTBD-EXEC-PART2-B6,huda-2025,tracking,carryover_register_b6,,created,2024-03-01,3 items flagged with blockers,Execution Doc Part 2 (slice B6),2025-09-30T02:13:30.681963+00:00
O-JTBD-IMSG-PART1-B6-0001,JTBD-IMSG-PART1-B6,huda-2025,momentum,counselor_meeting,,booked,2023-08-07,Scheduled introduction meeting,iMessage Part 1 (slice B6),2025-09-30T02:13:33.099368+00:00
O-JTBD-IMSG-PART1-B6-0002,JTBD-IMSG-PART1-B6,huda-2025,plan,outreach_list_v1,,created,2023-08-16,5 businesses identified,iMessage Part 1 (slice B6),2025-09-30T02:13:33.099377+00:00
O-JTBD-IMSG-PART2-B6-0001,JTBD-IMSG-PART2-B6,huda-2025,momentum,program_submission,,accepted_late_pdf,2024-03-01,Admin accepted PDF submission during LOR delay,iMessage Part 2 (slice B6),2025-09-30T02:13:35.574614+00:00
