snippet_id,jtbd_id,student_id,channel,date,user_ask,jenny_reply,tactic,tags,source_ref,created_ts
S-JTBD-W002-168H-ITER-0004,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,Or did you decide on the polysylon?,"9 00:00:54.900 --> 00:01:03.300 huda: I'm trying to actually find the available courses because, I can't really find them on the website.",,,W002 Transcript,2025-09-29T20:58:04.570672+00:00
S-JTBD-W002-168H-ITER-0005,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,"Right now, can you put your email in the chat?",Is that okay.,,,W002 Transcript,2025-09-29T20:58:04.570678+00:00
S-JTBD-W002-168H-ITER-0006,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,"22 00:02:40.290 --> 00:02:43.489 Jenny Duan: So, are you able to see this on your screen?","23 00:02:44.000 --> 00:02:46.510 huda: Yeah, okay, amazing.",,,W002 Transcript,2025-09-29T20:58:04.570705+00:00
S-JTBD-W002-168H-ITER-0007,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,"30 00:04:02.300 --> 00:04:31.369 Jenny Duan: when you've gathered all the materials so materials being like, what is the recommendation?","Transcripts, etc., extra curriculum section filled, essays, drafted, edited, submitted, and then status so in progress, submitted, accepted, declined, and not yet started.",,,W002 Transcript,2025-09-29T20:58:04.570713+00:00
S-JTBD-W002-168H-ITER-0008,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,"What should be to really outline your game plan for the school year in this semester, because 34 00:05:10.830 --> 00:05:34.709 Jenny Duan: I remember last time we talked we discovered that something that you might experience is a little bit of trouble scheduling your day and figuring out how much time you spend on school work versus extracurriculars, and how you can fit in time to actually do all the things that you want to do, like work on your games, start your club and all of these things.",So I was thinking that that should be the goal of today's session is to figure out really outlining how we can empower you to 35 00:05:34.730 --> 00:05:39.810 Jenny Duan: have a schedule and know how to manage your time as you go into this new school year.,,scheduling,W002 Transcript,2025-09-29T20:58:04.570720+00:00
S-JTBD-W002-168H-ITER-0009,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,How does that sound?,"36 00:05:40.200 --> 00:05:44.370 huda: Yeah, that sounds really nice.",,,W002 Transcript,2025-09-29T20:58:04.570725+00:00
S-JTBD-W002-168H-ITER-0010,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,Is that your question?,47 00:06:57.900 --> 00:06:59.870 huda: 168.,,scheduling,W002 Transcript,2025-09-29T20:58:04.570731+00:00
S-JTBD-W002-168H-ITER-0011,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,Did you look that up?,"Okay, all good.",,,W002 Transcript,2025-09-29T20:58:04.570736+00:00
S-JTBD-W002-168H-ITER-0012,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,How many hours you want to spend on everything?,the reason why it's really important to know exactly how many hours we need to spend on everything is because on the common app.,,scheduling,W002 Transcript,2025-09-29T20:58:04.570742+00:00
S-JTBD-W002-168H-ITER-0013,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,How?,56 h.,,,W002 Transcript,2025-09-29T20:58:04.570747+00:00
S-JTBD-W002-168H-ITER-0014,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,Is that so?,55 00:08:28.590 --> 00:08:33.379 Jenny Duan: Amazing.,,,W002 Transcript,2025-09-29T20:58:04.570752+00:00
S-JTBD-W002-168H-ITER-0015,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,How long do you spend in school?,57 00:08:41.570 --> 00:08:44.260 huda: Yeah.,,,W002 Transcript,2025-09-29T20:58:04.570757+00:00
S-JTBD-W003-GOALS-0001,JTBD-W003-GOALS,huda-2025,,2023-06-26,Week 0 - 168Hour_2_Coaching_Jenny_Huda_Wk00_2023-06-26_M_f084cadefd4d4213U_2023-06-25_0 0-00-00 WEBVTT 1 00:01:01.750 --> 00:01:03.150 Ivy Mentors: Hey?,Hello!,,,W003 Transcript,2025-09-29T20:58:07.064325+00:00
S-JTBD-W003-GOALS-0002,JTBD-W003-GOALS,huda-2025,,2023-06-26,How are you?,2 00:01:03.620 --> 00:01:04.480 huda: Hello!,,,W003 Transcript,2025-09-29T20:58:07.064334+00:00
S-JTBD-W003-GOALS-0003,JTBD-W003-GOALS,huda-2025,,2023-06-26,3 00:01:11.910 --> 00:01:13.359 Ivy Mentors: Why are you laughing?,4 00:01:13.500 --> 00:01:14.360 And 5 00:01:18.840 --> 00:01:22.209 Ivy Mentors: I'm good.,,,W003 Transcript,2025-09-29T20:58:07.064340+00:00
S-JTBD-W003-GOALS-0004,JTBD-W003-GOALS,huda-2025,,2023-06-26,"Ask Jenny about some timer technique, right?",Like alerts.,,,W003 Transcript,2025-09-29T20:58:07.064346+00:00
S-JTBD-W003-GOALS-0005,JTBD-W003-GOALS,huda-2025,,2023-06-26,"14 00:02:23.770 --> 00:02:26.960 Ivy Mentors: Hi, Jenny, how are you?","Well, it's good to see you.",,,W003 Transcript,2025-09-29T20:58:07.064352+00:00
S-JTBD-W003-GOALS-0006,JTBD-W003-GOALS,huda-2025,,2023-06-26,How's it going?,19 00:02:51.560 --> 00:02:53.360 huda: I'm good.,,,W003 Transcript,2025-09-29T20:58:07.064358+00:00
S-JTBD-W003-GOALS-0007,JTBD-W003-GOALS,huda-2025,,2023-06-26,How are you?,20 00:02:53.670 --> 00:02:57.630 Jenny Duan: I'm doing well.,,,W003 Transcript,2025-09-29T20:58:07.064364+00:00
S-JTBD-W003-GOALS-0008,JTBD-W003-GOALS,huda-2025,,2023-06-26,How is your first week of school?,"21 00:02:58.260 --> 00:03:07.380 huda: Oh, sorry I forgot to message you.",,,W003 Transcript,2025-09-29T20:58:07.064370+00:00
S-JTBD-W003-GOALS-0009,JTBD-W003-GOALS,huda-2025,,2023-06-26,"25 00:03:23.180 --> 00:03:28.010 Jenny Duan: same teacher, for what subject?",But for Cs awesome.,,,W003 Transcript,2025-09-29T20:58:07.064376+00:00
S-JTBD-W003-GOALS-0010,JTBD-W003-GOALS,huda-2025,,2023-06-26,"27 00:03:36.070 --> 00:03:38.079 Jenny Duan: Oh, got you awesome 28 00:03:38.110 --> 00:03:48.199 Jenny Duan: And how did everything else go?",How we like you for staff classes!,,,W003 Transcript,2025-09-29T20:58:07.064381+00:00
S-JTBD-W003-GOALS-0011,JTBD-W003-GOALS,huda-2025,,2023-06-26,and how are the how is like the beginning of clubs?,29 00:03:48.810 --> 00:04:14.059 huda: Yeah.,,,W003 Transcript,2025-09-29T20:58:07.064387+00:00
S-JTBD-W003-GOALS-0012,JTBD-W003-GOALS,huda-2025,,2023-06-26,"And then, how has the schedule been going?",what are your thoughts on how that went.,,,W003 Transcript,2025-09-29T20:58:07.064393+00:00
S-JTBD-W003-GOALS-0013,JTBD-W003-GOALS,huda-2025,,2023-06-26,How's your sat going?,39 00:05:26.200 --> 00:05:30.479 huda: Yeah.,,,W003 Transcript,2025-09-29T20:58:07.064399+00:00
S-JTBD-W003-GOALS-0014,JTBD-W003-GOALS,huda-2025,,2023-06-26,And when are you taking it again?,"45 00:06:01.590 --> 00:06:04.470 Jenny Duan: Okay, so in 2 months from now, okay.",,,W003 Transcript,2025-09-29T20:58:07.064404+00:00
S-JTBD-W003-GOALS-0015,JTBD-W003-GOALS,huda-2025,,2023-06-26,And when are you taking it again?,Start really doubling down on your prep.,,,W003 Transcript,2025-09-29T20:58:07.064410+00:00
S-JTBD-W004-PROFILE-0001,JTBD-W004-PROFILE,huda-2025,,2023-06-26,2 00:00:17.040 --> 00:00:18.280 Ivy Mentors: What's it?,3 00:00:30.800 --> 00:00:32.800 Janice Teoh: Yeah.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727907+00:00
S-JTBD-W004-PROFILE-0002,JTBD-W004-PROFILE,huda-2025,,2023-06-26,9 00:01:10.660 --> 00:01:12.729 Ivy Mentors: how are you doing?,10 00:01:12.750 --> 00:01:13.889 Janice Teoh: I'm good.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727915+00:00
S-JTBD-W004-PROFILE-0003,JTBD-W004-PROFILE,huda-2025,,2023-06-26,11 00:01:14.480 --> 00:01:17.440 Ivy Mentors: Nice to 12 00:01:18.640 --> 00:01:24.529 Janice Teoh: nice to meet you?,"yeah, I just had my first day at work today.",,,W004 Transcript (Janice),2025-09-29T20:58:09.727921+00:00
S-JTBD-W004-PROFILE-0004,JTBD-W004-PROFILE,huda-2025,,2023-06-26,Why not?,Like.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727926+00:00
S-JTBD-W004-PROFILE-0005,JTBD-W004-PROFILE,huda-2025,,2023-06-26,31 00:03:36.990 --> 00:03:38.550 Ivy Mentors: So what?,"32 00:03:39.000 --> 00:03:45.710 Ivy Mentors: Again, like, one of the challenges for me, like, you know, being like not having study in the Us is like, I even today.",,,W004 Transcript (Janice),2025-09-29T20:58:09.727931+00:00
S-JTBD-W004-PROFILE-0006,JTBD-W004-PROFILE,huda-2025,,2023-06-26,"33 00:03:45.790 --> 00:03:59.640 Ivy Mentors: it's very hard for me to really understand the whole kind of us application process, right?",And I feel that ignorance is not helping.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727936+00:00
S-JTBD-W004-PROFILE-0007,JTBD-W004-PROFILE,huda-2025,,2023-06-26,And can you see the document?,"34 00:03:59.900 --> 00:04:08.489 Janice Teoh: Yeah, yeah, I'm looking at it right now.",,,W004 Transcript (Janice),2025-09-29T20:58:09.727942+00:00
S-JTBD-W004-PROFILE-0008,JTBD-W004-PROFILE,huda-2025,,2023-06-26,"these are the biggest buckets, right?","39 00:04:42.110 --> 00:04:51.159 Janice Teoh: So I wanted to do that like, you know, to do a similar exercise, because, to be very honest, I haven't really spent time with the and kind of understanding that 40 00:04:52.160 --> 00:04:53.110 Ivy Mentors: no 41 00:04:53.680 --> 00:05:00.580 Ivy Mentors: So we're going to fill this right.",,,W004 Transcript (Janice),2025-09-29T20:58:09.727947+00:00
S-JTBD-W004-PROFILE-0009,JTBD-W004-PROFILE,huda-2025,,2023-06-26,"And again, this is where, like, you know, it's a fear of missing out right as a parent, I'm like, hey?",You know what I mean.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727953+00:00
S-JTBD-W004-PROFILE-0010,JTBD-W004-PROFILE,huda-2025,,2023-06-26,48 00:05:52.950 --> 00:06:15.369 Ivy Mentors: what did you kind of take a holistic kind of assessment of who the in this section?,What we have been doing with the students as an example.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727958+00:00
S-JTBD-W004-PROFILE-0011,JTBD-W004-PROFILE,huda-2025,,2023-06-26,"And I don't know if you guys did that, or you just like delve deeply into right?",I know that there's a lot of time.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727971+00:00
S-JTBD-W004-PROFILE-0012,JTBD-W004-PROFILE,huda-2025,,2023-06-26,Can this help her really stand out in passion?,"But oh, yeah, this was founded by a Stanford Cs student in 2,019, and we are a bunch of Mit and Stanford students we really like, we can guarantee that whatever you do here will help you really stand out.",,,W004 Transcript (Janice),2025-09-29T20:58:09.727976+00:00
S-JTBD-W004-PROFILE-0013,JTBD-W004-PROFILE,huda-2025,,2023-06-26,"50 00:06:40.090 --> 00:06:46.570 Ivy Mentors: And I'm like, how can you stand out if, like, 5 people are pick the same project together right?","Like I, that's that's the thing that I don't understand.",,,W004 Transcript (Janice),2025-09-29T20:58:09.727981+00:00
S-JTBD-W004-PROFILE-0014,JTBD-W004-PROFILE,huda-2025,,2023-06-26,"How does she go about 53 00:06:55.150 --> 00:06:58.740 Ivy Mentors: not losing a track of all these like tracks 54 00:06:58.970 --> 00:07:17.260 Ivy Mentors: probably pick up like one or 2 things in the way you're just helped her identify a passion project similar like others, extra curriculums, and might be a few awards right and and and you know it could.",Like our or what of the creative path.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727989+00:00
S-JTBD-W004-PROFILE-0015,JTBD-W004-PROFILE,huda-2025,,2023-06-26,Why do you want her to be close by?,61 00:08:21.930 --> 00:08:23.980 Ivy Mentors: That's a great question.,,,W004 Transcript (Janice),2025-09-29T20:58:09.727994+00:00
S-JTBD-W0045-ESSAY-REFINE-0001,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,"Week 58 - Coaching_Jenny_Huda_Wk58_2023-06-26_M_0f53dda2ddac18b2U_U_00-00-00 WEBVTT 1 00:00:17.380 --> 00:00:20.740 Jenny Duan: Hey, Jenny?","Yeah, she's joining perfect.",,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.032941+00:00
S-JTBD-W0045-ESSAY-REFINE-0002,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,How's it going?,"4 00:01:11.660 --> 00:01:13.559 huda: Hi, it's good.",,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.032953+00:00
S-JTBD-W0045-ESSAY-REFINE-0003,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,How are you?,"5 00:01:13.810 --> 00:01:23.460 Jenny Duan: Yeah, I'm doing well.",,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.032963+00:00
S-JTBD-W0045-ESSAY-REFINE-0004,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,How's everything going with school?,6 00:01:23.820 --> 00:01:45.789 huda: Yeah.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.032973+00:00
S-JTBD-W0045-ESSAY-REFINE-0005,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,"This would be a good time to do that 16 00:03:09.120 --> 00:03:11.490 Jenny Duan: on this like 5, 15 window 17 00:03:13.950 --> 00:03:18.120 Jenny Duan: this?","4, 15 to 5, 15 window.",,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.032983+00:00
S-JTBD-W0045-ESSAY-REFINE-0006,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,Does that does that sound good to you?,"18 00:03:18.180 --> 00:03:28.449 Jenny Duan: Yeah, definitely sounds good.",,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.032992+00:00
S-JTBD-W0045-ESSAY-REFINE-0007,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,How is that going?,19 00:03:29.280 --> 00:03:33.040 huda: I haven't been able to make that much progress.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033002+00:00
S-JTBD-W0045-ESSAY-REFINE-0008,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,28 00:04:25.640 --> 00:04:31.610 Jenny Duan: What types of features do you want to build within the next week?,30 00:04:34.890 --> 00:04:36.520 huda: No.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033011+00:00
S-JTBD-W0045-ESSAY-REFINE-0009,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,And how are you gonna fit that into your schedule like every single day?,32 00:04:46.760 --> 00:04:59.510 huda: I'm thinking.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033020+00:00
S-JTBD-W0045-ESSAY-REFINE-0010,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,"We need to figure out, one a way to frame what you've spent time doing this summer, and then what you spent time doing, what you're going to be spending time doing next summer?",For your application.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033030+00:00
S-JTBD-W0045-ESSAY-REFINE-0011,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,Does that make sense?,So this summer.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033038+00:00
S-JTBD-W0045-ESSAY-REFINE-0012,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,Can you describe to me what you've spent most of your time doing?,43 00:06:04.570 --> 00:06:17.510 huda: Yeah.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033048+00:00
S-JTBD-W0045-ESSAY-REFINE-0013,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,Can you repeat that?,58 00:07:36.620 --> 00:07:44.100 huda: Yeah.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033057+00:00
S-JTBD-W0045-ESSAY-REFINE-0014,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,Okay?,And then framing next summer.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033066+00:00
S-JTBD-W0045-ESSAY-REFINE-0015,JTBD-W0045-ESSAY-REFINE,huda-2025,,2023-06-26,"So for things that you want to continue next summer, what is 64 00:08:19.180 --> 00:08:26.290 Jenny Duan: have you thought about?",What type of project you want to do next summer.,,,W004.5 Transcript (Jenny),2025-09-29T20:58:12.033075+00:00
S-JTBD-W005-NAVIANCE-0001,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,How's it going?,2 00:01:39.550 --> 00:01:40.629 huda siraj: Good!,,,W005 Transcript,2025-09-29T20:58:14.404025+00:00
S-JTBD-W005-NAVIANCE-0002,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,How are you?,3 00:01:40.940 --> 00:01:43.389 Jenny Duan: I'm good.,,,W005 Transcript,2025-09-29T20:58:14.404033+00:00
S-JTBD-W005-NAVIANCE-0003,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,How's your week?,4 00:01:44.360 --> 00:01:59.869 huda siraj: It's been going good.,,,W005 Transcript,2025-09-29T20:58:14.404039+00:00
S-JTBD-W005-NAVIANCE-0004,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,Or does that mean?,Yeah.,,,W005 Transcript,2025-09-29T20:58:14.404044+00:00
S-JTBD-W005-NAVIANCE-0005,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,Is there something in your speaker settings you can check?,"14 00:02:50.010 --> 00:02:51.330 Jenny Duan: Yeah, yeah, that's better.",,,W005 Transcript,2025-09-29T20:58:14.404049+00:00
S-JTBD-W005-NAVIANCE-0006,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,How's everything going with school in general.,19 00:03:08.200 --> 00:03:20.020 huda siraj: Yeah.,,,W005 Transcript,2025-09-29T20:58:14.404055+00:00
S-JTBD-W005-NAVIANCE-0007,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,22 00:03:34.370 --> 00:03:38.520 Jenny Duan: And how are you planning to meet your counselor if they're not available for appointments?,"23 00:03:39.710 --> 00:03:59.649 huda siraj: I think she's actually a lot more responsive like when you sign this one form like I don't know there was a form, but when I went in person I I found like a QR.",,,W005 Transcript,2025-09-29T20:58:14.404060+00:00
S-JTBD-W005-NAVIANCE-0008,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,31 00:04:37.970 --> 00:04:43.510 Jenny Duan: okay?,And then SAT.,,,W005 Transcript,2025-09-29T20:58:14.404065+00:00
S-JTBD-W005-NAVIANCE-0009,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,Were you able to take a practice test this weekend?,And how did that go.,,,W005 Transcript,2025-09-29T20:58:14.404071+00:00
S-JTBD-W005-NAVIANCE-0010,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,36 00:05:21.970 --> 00:05:25.869 Jenny Duan: And then empowering a I what's your progress on that so far?,37 00:05:26.300 --> 00:05:50.500 huda siraj: Yeah.,,,W005 Transcript,2025-09-29T20:58:14.404076+00:00
S-JTBD-W005-NAVIANCE-0011,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,40 00:06:19.050 --> 00:06:21.640 Jenny Duan: So what's your plan to find someone younger?,"41 00:06:21.770 --> 00:06:37.370 huda siraj: So my partner, she's in like the Cs level, which is like for a grade younger than us.",,,W005 Transcript,2025-09-29T20:58:14.404081+00:00
S-JTBD-W005-NAVIANCE-0012,JTBD-W005-NAVIANCE,huda-2025,,2023-07-07,"Then, were you able to create the Instagram account 44 00:06:47.620 --> 00:06:54.000 Jenny Duan: or start developing curriculum yet?","45 00:06:54.270 --> 00:06:59.400 Jenny Duan: Okay, great.",,,W005 Transcript,2025-09-29T20:58:14.404086+00:00
