week,kind,count
29,OTHER,2
29,TRANS-INTEL,107
30,TRANS-INTEL,283
30,TRANS-RAW,2
31,OTHER,2
31,TRANS-INTEL,247
31,TRANS-RAW,347
32,IMSG-INTEL,249
32,OTHER,2
32,TRANS-INTEL,299
32,TRANS-RAW,422
33,TRANS-INTEL,284
33,TRANS-RAW,278
34,TRANS-INTEL,285
34,TRANS-RAW,388
35,OTHER,2
35,TRANS-INTEL,255
35,TRANS-RAW,287
36,TRANS-INTEL,305
36,TRANS-RAW,322
37,TRANS-INTEL,300
37,TRANS-RAW,403
38,TRANS-INTEL,333
38,TRANS-RAW,295
39,TRANS-INTEL,320
39,TRANS-RAW,467
40,TRANS-INTEL,336
40,TRANS-RAW,448
41,OTHER,6
41,TRANS-INTEL,306
41,TRANS-RAW,490
42,TRANS-INTEL,306
42,TRANS-RAW,426
43,TRANS-INTEL,298
43,TRANS-RAW,331
44,IMSG-INTEL,222
44,TRANS-INTEL,300
44,TRANS-RAW,350
45,TRANS-INTEL,309
45,TRANS-RAW,485
46,TRANS-INTEL,297
46,TRANS-RAW,429
47,TRANS-INTEL,322
47,TRANS-RAW,598
48,TRANS-INTEL,312
48,TRANS-RAW,773
49,OTHER,2
49,TRANS-INTEL,291
49,TRANS-RAW,711
50,OTHER,2
50,TRANS-INTEL,294
50,TRANS-RAW,517
51,TRANS-INTEL,283
51,TRANS-RAW,235
52,OTHER,2
52,TRANS-INTEL,337
52,TRANS-RAW,698
53,TRANS-INTEL,306
53,TRANS-RAW,583
54,OTHER,2
54,TRANS-INTEL,292
54,TRANS-RAW,638
55,TRANS-INTEL,406
55,TRANS-RAW,476
56,OTHER,2
56,TRANS-INTEL,351
56,TRANS-RAW,534
57,EXEC-INTEL,200
57,OTHER,2
57,TRANS-INTEL,243
57,TRANS-RAW,577
58,TRANS-INTEL,247
58,TRANS-RAW,653
59,TRANS-INTEL,260
59,TRANS-RAW,542
60,TRANS-INTEL,311
60,TRANS-RAW,275
61,TRANS-INTEL,381
61,TRANS-RAW,575
62,TRANS-INTEL,280
62,TRANS-RAW,457
63,TRANS-INTEL,265
63,TRANS-RAW,618
64,OTHER,6
64,TRANS-INTEL,229
65,IMSG-INTEL,183
65,OTHER,2
65,TRANS-INTEL,240
65,TRANS-RAW,521
66,OTHER,2
66,TRANS-INTEL,263
66,TRANS-RAW,798
67,OTHER,2
67,TRANS-INTEL,229
67,TRANS-RAW,522
68,OTHER,2
68,TRANS-INTEL,227
68,TRANS-RAW,487
69,OTHER,5
69,TRANS-INTEL,265
69,TRANS-RAW,701
70,OTHER,5
70,TRANS-INTEL,256
70,TRANS-RAW,625
71,OTHER,5
71,TRANS-INTEL,277
71,TRANS-RAW,640
72,OTHER,5
72,TRANS-INTEL,272
72,TRANS-RAW,482
73,OTHER,2
73,TRANS-INTEL,261
73,TRANS-RAW,463
74,OTHER,7
74,TRANS-INTEL,266
74,TRANS-RAW,529
75,OTHER,2
75,TRANS-INTEL,277
75,TRANS-RAW,637
76,IMSG-INTEL,338
76,TRANS-INTEL,223
76,TRANS-RAW,577
77,TRANS-INTEL,252
77,TRANS-RAW,565
78,TRANS-INTEL,292
78,TRANS-RAW,523
79,TRANS-INTEL,314
79,TRANS-RAW,640
80,TRANS-INTEL,287
80,TRANS-RAW,535
81,OTHER,2
81,TRANS-INTEL,289
81,TRANS-RAW,531
82,TRANS-INTEL,298
82,TRANS-RAW,728
83,TRANS-INTEL,291
83,TRANS-RAW,400
84,TRANS-INTEL,287
84,TRANS-RAW,431
85,TRANS-INTEL,298
85,TRANS-RAW,505
86,TRANS-INTEL,306
86,TRANS-RAW,449
87,TRANS-INTEL,381
87,TRANS-RAW,593
88,TRANS-INTEL,362
88,TRANS-RAW,600
89,TRANS-INTEL,376
89,TRANS-RAW,359
90,TRANS-INTEL,309
90,TRANS-RAW,199
91,TRANS-INTEL,341
91,TRANS-RAW,418
92,TRANS-INTEL,361
92,TRANS-RAW,449
93,TRANS-INTEL,249
93,TRANS-RAW,241
